,TAXON,ACTIVITY,CNAME,FAMILY,GENUS,SPECIES
9460,Polygonatum odoratumvar.japonicum,Tonic,Amadokoro,Liliaceae,Polygonatum,odoratum
9461,Polygonatum odoratumvar.pluriflorum,"Tonic,Nutrient",Amadokoro,Liliaceae,Polygonatum,odoratum
9462,Polygonatum officinale,"Arthritis,Cardiotonic,Cold,Cough,Debility,Demulcent,Fever,Gravel,Hypertension,Inflammation,Lung,Malaria,Ophthalmia,Refrigerant,Sedative,Sore(Throat),Thirst,Tonic,Wound,Astringent,Hidrosis,Urogenital,Diabetes,Flu,Tumor","Wei Jui,nan,Muhrusuleyman,Solomon'S Seal",Liliaceae,Polygonatum,officinale
9463,Polygonatum sp,Poison,Solomon'S Seal,Liliaceae,Polygonatum,sp
9464,Polygonatum verticillatum,"Diuretic,Tumor,Poison","nan,Ephemeron",Liliaceae,Polygonatum,verticillatum
9465,Polygonum acre,"Diuretic,Scabies,Skin,Stone,Calculus,Rheumatism",nan,Polygonaceae,Polygonum,acre
9466,Polygonum alpinum,Astringent,nan,Polygonaceae,Polygonum,alpinum
9467,Polygonum amphibium,"Aphrodisiac,Astringent,Cancer,Depurative,Detersive,Diuretic,Sudorific,Tonic,Refrigerant","Coban Deynegi,nan,Serpentine,Poligono Anfibio",Polygonaceae,Polygonum,amphibium
9468,Polygonum amplexicaule,Kidney,nan,Polygonaceae,Polygonum,amplexicaule
9469,Polygonum apoense,Deafness,nan,Polygonaceae,Polygonum,apoense
9470,Polygonum aviculare,"Anodyne,Antiseptic,Astringent,Bactericide,Bronchitis,Cancer,Cathartic,Cold,Demulcent,Diabetes,Diarrhea,Diuretic,Dysentery,Eczema,Emetic,Emollient,Fever,Internulcer,Jaundice,Kidney,Piles,Pruritis,Rheumatism,Roundworms,Sore,Stone,Tea,Tonic,Tumor,Urogenital,Vermifuge,Vulnerary,Asthma,Dysuria,Hemostat,Laxative,Venereal,Anus,Chancroid,Chest,Cholagogue,Gargle,Gonorrhea,Hematuria,Lung,Malaria,Menorrhagia,Charm,Tonsillitis,Vaginitis","Miti-Yanagi,nan,Hemero Tea,Knowgrass,T'Ieh Sien Ts'Ao,Kus Karabugdayi,Centinodia,Pien Hsu,Knotweed,Nana Shwana,Habbat Al Rae'Y,Asa Al Rae'Y",Polygonaceae,Polygonum,aviculare
9471,Polygonum barbatum,"Arthritis,Astringent,Cancer,Cicatrizant,Diarrhea,Infertility,Piscicide,Purgative,Refrigerant,Sore,Tonic,Vulnerary,Wound,Wound(Veterinary),Emetic,Colic","Mengrengan,nan,Mao Liao,Sala nyoyo,Tebok seludang,Tuba seluang,Johong beraleh (Spell remover)",Polygonaceae,Polygonum,barbatum
9472,Polygonum bistorta,"Amenorrhea,Antidote,Antiseptic,Astringent,Bite(Bug),Bite(Snake),Congestion,Diarrhea,Diuretic,Expectorant,Fever,Flux,Hemorrhage,Hemostat,Laxative,Lymphadenopathy,Malaria,Menorrhagia,Refrigerant,Spasm,Tonic,Tumor,Wound,Dropsy,Ague,Alexiteric,Cancer,Cancer(Lip),Convulsion,Gingivitis,Mouthwash,Scrofula,Swelling,Colitis","Tzu Shen,Ibuki-Tora-No-O,nan,Snakeroot,Kurtpencesi,Enjebar,Mou Meng,Ch'Uan Shen,Naterwurz,Bistorta,English Serpentary",Polygonaceae,Polygonum,bistorta
9473,Polygonum blumei,Vermifuge,Ma Liao,Polygonaceae,Polygonum,blumei
9474,Polygonum chinense,"Alexiteric,Antidote(Scorpion),Dysentery,Sore,Ache(Stomach),Vermifuge,Sore(Throat),Tonic,Abscess,Bite(Bug),Enteritis,Flux,Ophthalmia,Refrigerant,Scurvy,Trauma,Vulnerary,Dyspepsia,Fever","nan,Ch'Ih Ti Li,Pokok semuloh (Constipation pl,Shan Ch'Iao Mai",Polygonaceae,Polygonum,chinense
9475,Polygonum convolvulus,Tumor,"Bindweed,Black",Polygonaceae,Polygonum,convolvulus
9476,Polygonum cuspidatum,"Abscess,Alexiteric,Aperient,Appendicitis,Bite(Snake),Boil,Bruise,Burn,Cancer,Diuretic,Dysmenorrhea,Ecchymosis,Fever,Gonorrhea,Gout,Medicine,Metroxenia,Poison,Preventitive(Epidemic),Puerperium,Refrigerant,Swelling,Trauma,Gonadotrophic,Jaundice,Regeneration,Arthritis,Hepatitis,Purgative,Rheumatism","nan,Itadori,Hu Chang,Japanese Fleeceflower,Pan Chang",Polygonaceae,Polygonum,cuspidatum
9477,Polygonum dumetorum,Laxative,"nan,Desert Knotgrass",Polygonaceae,Polygonum,dumetorum
9478,Polygonum filiforme,"Flux,Hemorrhage","Chin Hsien Ts'Ao,Chin Ssu Ts'Ao",Polygonaceae,Polygonum,filiforme
9479,Polygonum flaccidum,"Bite(Snake),Emmenagogue,Feet,Swelling,Blister","Shui Liao,nan,Chia Liao,Tse Liao,Yu Liao",Polygonaceae,Polygonum,flaccidum
9480,Polygonum glabrum,"Bactericide,Tuberculosis,Fever,Jaundice,Colic,Piscicide,Debility,Piles,Pneumonia",nan,Polygonaceae,Polygonum,glabrum
9481,Polygonum hydopiper,Febrifuge,Yanagi-Tade,Polygonaceae,Polygonum,hydopiper
9482,Polygonum hydropiper,"Arthralgia,Cancer,Carminative,CNS stimulant,Contraceptive,Detersive,Diuretic,Dysentery,Emmenagogue,Enterorrhagia,Hemostat,Itch,Larvicide,Lithontriptic,Repellant(Insect),Rheumatism,Rubefacient,Sedative,Skin,Stimulant,Stomatitis,Styptic,Sudorific,Tonic,Ache(Tooth),Tumor,Uteritis,Uterotonic,Vermifuge,Bactericide,Antiseptic,Insectifuge,Kidney,Medicine,Piscicide,Uterus,Vasoconstrictor,Wound,Diarrhea,Heatstroke,Poison","nan,Pweve D'Ewe,Subiberi,Yanagi-Tade,Pimienta Acuatica,Smartweed,Daun senahun",Polygonaceae,Polygonum,hydropiper
9483,Polygonum japonicum,"Antidote(Caterpillar),Sore",Ts'An Chien Ts'Ao,Polygonaceae,Polygonum,japonicum
9484,Polygonum lapathifolium,"Bactericide,Cancer,Hepatoma,Poison,Sore,Tumor,Antiseptic","nan,Shui Hong Hua Zi,Mao Liao",Polygonaceae,Polygonum,lapathifolium
9485,Polygonum longiseta,Cancer,"nan,Inutade",Polygonaceae,Polygonum,longiseta
9486,Polygonum macrophyllum,Astringent,nan,Polygonaceae,Polygonum,macrophyllum
9487,Polygonum maritimum,"Burn,Cancer(Uterus),Wound","nan,Knotgrass",Polygonaceae,Polygonum,maritimum
9488,Polygonum miltiflorum,Tonic,nan,Polygonaceae,Polygonum,miltiflorum
9489,Polygonum minus,"Dyspepsia,Piscicide,Stomach,Parturition,Poison,Puerperium","Kesum,nan",Polygonaceae,Polygonum,minus
9490,Polygonum molle,"Astringent,Diarrhea",nan,Polygonaceae,Polygonum,molle
9491,Polygonum multiflorum,"Anemia,Antiprogestational,Arthritis,Blood,Cancer,Constipation,Diarrhea,Hairblack,Hematogenic,Hepatitis,Hyperglycemia,Immortality,Insomnia,Kidney,Lymphadenitis,Parturition,Piles,Puerperium,Repellant(Snake),Rickets,Scrofula,Scurvy,Splenitis,Tonic,Tumor,Bite(Snake),Carcinoma(Breast),Cold,Dysmenorrhea,Fertility,Neurasthenia,Skin,Liver,Ache(Back),Bruise,Itch,Knee,Nervine,Sedative,Trauma,Vertigo,Antidote(Scorpion),Fever,Restorative,Scabies","nan,Ho Shou Wu,She Chien Ts'Ao,Turu-Dokudami,Ho Chou Wu",Polygonaceae,Polygonum,multiflorum
9492,Polygonum multiflorus,"Laxative,Tonic",Turu-Dokudami,Polygonaceae,Polygonum,multiflorus
9493,Polygonum odoratum,"Diuretic,Nausea,Fever","Rau Ram,Chi Krassang Tomhom",Polygonaceae,Polygonum,odoratum
9494,Polygonum orientale,"Breath,Carminative,Deobstruent,Eye,Febrifuge,Fever,Hepatitis,Hepatoma,Piscicide,Swelling,Thirst,Tubercle,Tympanitis,Sore,Anodyne,Tumor","Hung Ts'Ao,Oke-Tade,nan,Shui Hung Hua Zi",Polygonaceae,Polygonum,orientale
9495,Polygonum perfoliatum,"Bite(Snake),Circulation,Diuretic,Dysentery,Enteritis,Fever,Trauma,Tumor,Abscess,Hematuria,Alexiteric,Boil,Dysuria","nan,Rau Song Chua Day",Polygonaceae,Polygonum,perfoliatum
9496,Polygonum persicaria,"Antiseptic,Astringent,Cold,Detersive,Fever,Inflammation,Laxative,Lithontriptic,Pharyngitis,Stomach,Styptic,Tonic,Tonsillitis,Vulnerary,Gargle,Asthma,Cardiotonic,Tumor","nan,Acemotu,Hashishat Al Ger'An,Persicaria,Arsmart",Polygonaceae,Polygonum,persicaria
9497,Polygonum plebeium,"Bowel,Pneumonia",nan,Polygonaceae,Polygonum,plebeium
9498,Polygonum plebejum,"Dysentery,Menorrhagia,Bowel,Pneumonia,Earwig",nan,Polygonaceae,Polygonum,plebejum
9499,Polygonum pubescens,"Emmenagogue?,Hemostat,Abortive?","Kesuma,Sekati lima paya,Tebok seludang",Polygonaceae,Polygonum,pubescens
9500,Polygonum pulchrum,"Cardiodepressant,Depurative,Tonic,Black-Gall(Veterinary)","nan,Johong beraleh (Spell remover),Bendet",Polygonaceae,Polygonum,pulchrum
9501,Polygonum punctatum,"Antifertility,Astringent,Bilious,Calculus,Emmenagogue,Malaria,Malignancy,Piles,Sore,Stimulant,Arthritis,Diuretic,Mange,Poison,Urogenital,Vermifuge","nan,Yerba De Burro,Yerba De Hicotea,Water Smartweed",Polygonaceae,Polygonum,punctatum
9502,Polygonum salicifolium,Salt,Mbwetomasa,Polygonaceae,Polygonum,salicifolium
9503,Polygonum sanguinaria,Tumor,Sanguinaria,Polygonaceae,Polygonum,sanguinaria
9504,Polygonum sp,"Bite(Dog),Cholera,Eruption,Fumitory,Spasm,Tonic,Vermifuge,Carminative,Liver,Rabies,Skin,Stimulant,Dysentery","Liao,Ch'Ing Liao,nan,Liao Chiu,Hsiang Liao,Ch'Ih Liao",Polygonaceae,Polygonum,sp
9505,Polygonum strigosum,"Medicine,Piscicide,Poison,Salt,Stupefacient",nan,Polygonaceae,Polygonum,strigosum
9506,Polygonum tenuicaule,"Astringent,Antidote",Haru-Tora-No-O,Polygonaceae,Polygonum,tenuicaule
9507,Polygonum tinctorium,"Antiphlogistic,Tumor,Antidote,Fever","nan,Ch'Ing Tai,Tien Hua",Polygonaceae,Polygonum,tinctorium
9508,Polygonum tinctorum,"Antidote,Febrifuge",Ai,Polygonaceae,Polygonum,tinctorum
9509,Polygonum tomentosum,"Depurative,Tonic",nan,Polygonaceae,Polygonum,tomentosum
9510,Polygonum virginianum,"Astringent,Bactericide,Demulcent,Spasm,Diuretic,Tonic,Vulnerary,Stimulant",nan,Polygonaceae,Polygonum,virginianum
9511,Polygonum viviparum,"Antiseptic,Astringent,Diarrhea,Dysentery,Gingivitis,Hemoptysis,Tonic,Sore(Throat)",nan,Polygonaceae,Polygonum,viviparum
9512,Polymnia eurylepis,Medicine,nan,Asteraceae,Polymnia,eurylepis
9513,Polymnia glabrata,Cold,nan,Asteraceae,Polymnia,glabrata
9514,Polymnia maculata,"Wound,Sore",nan,Asteraceae,Polymnia,maculata
9515,Polymnia uvedalia,"Anodyne,Laxative,Stimulant,Malaria,Scrofula","Yellow Leafcup,Amerikaanse Bereklauw,Amerikanischer Barenklau,Polymnie,American Bearfoot",Asteraceae,Polymnia,uvedalia
9516,Polyosma longipes,"Ophthalmia,Scurf",nan,Grossulariaceae,Polyosma,longipes
9517,Polyosma sp,Parturition,nan,Grossulariaceae,Polyosma,sp
9518,Polypodium angustifolium,"Diaphoretic,Dropsy,Expectorant,Fever,Pectoral,Syphilis,Tumor,Bruise",nan,Polypodiaceae,Polypodium,angustifolium
9519,Polypodium attenuatum,"Bruise,Diuretic,Nerves,Refrigerant,Shock",nan,Polypodiaceae,Polypodium,attenuatum
9520,Polypodium aurea,Fever,nan,Polypodiaceae,Polypodium,aurea
9521,Polypodium aureum,"Cough,Purgative,Sudorific,Tumor,Venereal,Fever,Cancer,Pectoral","Calaguala,nan",Polypodiaceae,Polypodium,aureum
9522,Polypodium barometz,"Hemostat,Impotency,Liver,Penis,Tonic,Kidney,Senility,Spine,Wound","Scythian Lamb,Kou Chi",Polypodiaceae,Polypodium,barometz
9523,Polypodium calaguala,Pertussis,Calaguala,Polypodiaceae,Polypodium,calaguala
9524,Polypodium crassifolium,Syphilis,nan,Polypodiaceae,Polypodium,crassifolium
9525,Polypodium filix-mas,"Abortifacient,Poison,Taenifuge",nan,Polypodiaceae,Polypodium,filix-mas
9526,Polypodium fimbriatum,"Diuretic,Expectorant",nan,Polypodiaceae,Polypodium,fimbriatum
9527,Polypodium fortunei,"Fracture,Hemorrhage,Ache(Tooth),Wound,Cachexia,Sore,Alopecia,Gangrene","Ku Sui Pu,Hou Chiang",Polypodiaceae,Polypodium,fortunei
9528,Polypodium furfuraceum,Analgesic,nan,Polypodiaceae,Polypodium,furfuraceum
9529,Polypodium glaucophyllum,Sweetener,nan,Polypodiaceae,Polypodium,glaucophyllum
9530,Polypodium glycyrrhiza,Diarrhea,nan,Polypodiaceae,Polypodium,glycyrrhiza
9531,Polypodium hastatum,Tumor,Chin Hsing Ts'Ao,Polypodiaceae,Polypodium,hastatum
9532,Polypodium lanceolatum,"Condyloma,Cough,Depurative,Fever","Tlalquequetzal,nan",Polypodiaceae,Polypodium,lanceolatum
9533,Polypodium lingua,"Astringent,Cancer,Carbuncle,Carcinoma,Cystitis,Hair-Tonic,Menorrhagia,Scrofula,Sore,Wound,Antidote(Brimstone),Diuretic,Adenopathy,Gonorrhea,Refrigerant,Urethrorrhagia","nan,Chin Hsing Tsao,Chin Hsing Ts'Ao,Shih Wei",Polypodiaceae,Polypodium,lingua
9534,Polypodium maritimum,"Diaphoretic,Kidney,Cancer",nan,Polypodiaceae,Polypodium,maritimum
9535,Polypodium martensii,"Cold,Fever,Lung",nan,Polypodiaceae,Polypodium,martensii
9536,Polypodium phylliditis,Syphilis,nan,Polypodiaceae,Polypodium,phylliditis
9537,Polypodium phyllitides,Antifertility,nan,Polypodiaceae,Polypodium,phyllitides
9538,Polypodium plebejum,"Purgative,Expectorant",nan,Polypodiaceae,Polypodium,plebejum
9539,Polypodium polynesicum,Ear,nan,Polypodiaceae,Polypodium,polynesicum
9540,Polypodium polypodioides,Liver,Doradilla,Polypodiaceae,Polypodium,polypodioides
9541,Polypodium scolopendria,"Abscess,Ache(Head),Ache(Stomach),Catarrh,Diarrhea,Filariasis,Gingivitis,Sore,Stomach,Wound",nan,Polypodiaceae,Polypodium,scolopendria
9542,Polypodium suspensum,Tumor(Scrotum),nan,Polypodiaceae,Polypodium,suspensum
9543,Polypodium virginianum,Purgative,nan,Polypodiaceae,Polypodium,virginianum
9544,Polypodium vulgare,"Alterative,Aperient,Apertif,Astringent,Cancer,Cholagogue,Cold,Deobstruent,Expectorant,Liqueur,Pectoral,Purgative,Skin,Sore(Throat),Stomach,Sweetener,Vermifuge,Chest,Cough,Dyspepsia","Pespaye,Polypody,nan,Polipodio",Polypodiaceae,Polypodium,vulgare
9545,Polyporus frondosus,Cyanogenetic,nan,nan,Polyporus,frondosus
9546,Polypremum procumbens,Metritis,nan,Loganiaceae,Polypremum,procumbens
9547,Polyscias balfouriana,"Ache(Head),Catarrh,Cold,Cough,Flu",Paresseux,Araliaceae,Polyscias,balfouriana
9548,Polyscias fruticosa,"Astringent,Diuretic,Dysuria,Fever,Gravel,Stone,Vulnerary","nan,Pokok teh (Tea tree)",Araliaceae,Polyscias,fruticosa
9549,Polyscias nodosa,Piscicide,Papaja Ootan,Araliaceae,Polyscias,nodosa
9550,Polyscias pinnata,"Anesthetic,Flu","nan,Paresseux",Araliaceae,Polyscias,pinnata
9551,Polyscias scutellaria,"Alopecia,Diuretic,Sore",nan,Araliaceae,Polyscias,scutellaria
9552,Polystichum ammifolium,Charm,nan,Dryopteridaceae,Polystichum,ammifolium
9553,Polystichum falcatum,Cancer(Cervix),nan,Dryopteridaceae,Polystichum,falcatum
9554,Polystichum lucidum,"Vermifuge,Enema,Maggot",nan,Dryopteridaceae,Polystichum,lucidum
9555,Polystichum munitum,"Boil,Sore",nan,Dryopteridaceae,Polystichum,munitum
9556,Polytrema vulgare,"Abdomen,Angina?,Anodyne,Sore","Daun lipah,Peparu hitam,Daun sekeras akar",Acanthaceae,Polytrema,vulgare
9557,Pomaderris elliptica,"Asthma,Cancer(Skin),Chest,Tuberculosis,Diabetes,Skin,Sore,Heartburn,Bronchitis,Depurative,Kidney","nan,Kumarahou",Rhamnaceae,Pomaderris,elliptica
9558,Pometia pinnata,"Cough,Diaper-Rash,Diarrhea,Fever,Laxative,Sore,Stomach,Diuretic,Dysuria",nan,Sapindaceae,Pometia,pinnata
9559,Poncirus trifoliata,"Carminative,Diarrhea,Diuretic,Refrigerant,Stomachic,Tea,Cold,Deobstruent,Medicine,Ache(Tooth)","Chih,nan,Chih K'O",Rutaceae,Poncirus,trifoliata
9560,Poncirus trifoliatus,"Lumbago,Diuretic,Dyspepsia,Congestion,Stomachic","nan,Karatati",Rutaceae,Poncirus,trifoliatus
9561,Pongamia glabra,Piscicide,nan,Fabaceae,Pongamia,glabra
9562,Pongamia pinnata,"Antidote(Fish sting),Arthritis,Beri-Beri,Beriberi,Bronchitis,Cholagogue,Dermatosis,Diarrhea,Dyspepsia,Emetic,Fever,Fistula,Fungicide,Gonorrhea,Herpes,Internal,Itch,Lactogogue,Leprosy,Leucoderma,Pertussis,Piscicide,Rheumatism,Scrofula,Skin,Soap,Stomachic,Tumor,Tumor(Abdomen),Cough,Piles,Sore,Anodyne,Bactericide,Diabetes,Nematicide,Scabies,Splenomegaly,Swelling,Thirst,Tonic","Bangkong,nan,Kepik,Malabari,Bangkongan,Ki pahang,Jadar,Pongam,Malapari,Pongam Oil,Hoang Ba,Karanda,Chiravilvra,Hongay Oil",Fabaceae,Pongamia,pinnata
9563,Popowia aberrans,"Cosmetic,Perfume","Dok Dam Duan,Rom Doul",Annonaceae,Popowia,aberrans
9564,Popowia fornicata,Bite(Snake),nan,Annonaceae,Popowia,fornicata
9565,Populus alba,"Antiseptic,Astringent,Caries,Cold,Colic,Complexion,Diuretic,Fever,Flux,Goiter,Hemorrhage,Herpes,Malaria,Revulsive,Skin,Splenomegaly,Strangury,Tonic,Bitter-Principle,Bones,Rheumatism,Hematochezia,Stimulant","Tu Yao,Uraziro-Hako-Yanagi,Pai Yang,Ak Kavak,nan,Silverleaf Poplar,Hur,Pai Yang P'I Chiu,Qawagh,White Poplar",Salicaceae,Populus,alba
9566,Populus angustifolia,"Depurative,Ache(Tooth),Enterorrhagia,Gingivitis",nan,Salicaceae,Populus,angustifolia
9567,Populus balsamifera,"Astringent,Bite(Snake),Cholera,Depurative,Diarrhea,Dysentery,Expectorant,Gout,Inflammation,Kidney,Parasiticide,Rheumatism,Scurvy,Stimulant,Stomach,Styptic,Vermifuge,Lung,Caries,Eye,Fracture,Skin,Tumor,Wound","Tz'U T'Ung,nan,Hai T'Ung,Balm Of Gilead,Balsam Poplar,Tacamahaca",Salicaceae,Populus,balsamifera
9568,Populus candicans,Cancer,Balm Of Gilead,Salicaceae,Populus,candicans
9569,Populus ciliata,"Stimulant,Tonic,Depurative","Falsch,Bangikat,Paluch",Salicaceae,Populus,ciliata
9570,Populus euphratica,"Chewstick,Vermifuge,Dentifrice","nan,Bahan",Salicaceae,Populus,euphratica
9571,Populus fremontii,Scurvy,Fremont'S Cottonwood,Salicaceae,Populus,fremontii
9572,Populus nigra,"Anodyne,Bladder,Cancer,Cancer(Prostate),Cold,Depurative,Diuretic,Fever,Hair-Tonic,Piles,Prostatitis,Sudorific,Tumor,Vulnerary,Febrifuge,Tonic","Seiyo-Hako-Yanagi,Kara Kavak,Poplar,Black,nan,Black Poplar,Alamo Negro",Salicaceae,Populus,nigra
9573,Populus sp,Fumitory,nan,Salicaceae,Populus,sp
9574,Populus suaveolens,Antiseptic,Ch'Ing Yang,Salicaceae,Populus,suaveolens
9575,Populus tacamahacca,Medicine,nan,Salicaceae,Populus,tacamahacca
9576,Populus tremula,"Leucorrhea,Tumor,Vermifuge,Gout","T'Ang Ti,Aspen,Fu I,I Yang",Salicaceae,Populus,tremula
9577,Populus tremuloides,"Palsy,Tonic,Cancer","nan,Trembling Aspen,Aspen,Quaking",Salicaceae,Populus,tremuloides
9578,Populus trichocarpa,"Hair-Oil,Sunburn,Hair,Preventitive",nan,Salicaceae,Populus,trichocarpa
9579,Populus wislizenii,"Bruise,Dropsy,Poultice,Wound,Boil",nan,Salicaceae,Populus,wislizenii
9580,Porana paniculata,"Decongestant,Medicine,Stomach,Anemia","Fleurs Noel,nan",Convolvulaceae,Porana,paniculata
9581,Porana volubilis,"Depurative,Parturition,Perguessia,Tonic,Puerperium","nan,Bidasari,Burm.,Widasari (Nymph)",Convolvulaceae,Porana,volubilis
9582,Poria cocos,"Apprehension,Congestion,Diarrhea,Diuretic,Dysuria,Edema,Hyperglycemia,Nausea,Cough,Insomnia,Lung",nan,nan,Poria,cocos
9583,Poria cocos(fungus),"Antitussive,Anxiety,Dysuria,Insomnia,Palpitation,Splenitis,Amnesia,Stomach,Edema,Tumor",nan,nan,Poria,cocos(fungus)
9584,Porlieria angustifolia,"Cough,Emmenagogue,Rheumatism,Shampoo,Soap,Sudorific,Venereal,Antiseptic,Dandruff,Stimulant",nan,Zygophyllaceae,Porlieria,angustifolia
9585,Porlieria hygrometra,"Rheumatism,Tumor","nan,Guayacan",Zygophyllaceae,Porlieria,hygrometra
9586,Porophyllum gracile,"Cold,Diarrhea,Intestine,Panacea,Parturition,Ache(Tooth)",nan,Asteraceae,Porophyllum,gracile
9587,Porophyllum macrocephalum,"Ache(Stomach),Apertif,Carminative,Dysmenorrhea,Tea,Nausea",nan,Asteraceae,Porophyllum,macrocephalum
9588,Porophyllum pausodynum,Ache(Head),nan,Asteraceae,Porophyllum,pausodynum
9589,Porophyllum punctatum,Gonorrhea,nan,Asteraceae,Porophyllum,punctatum
9590,Porophyllum ruderale,"Bite(Snake),Ache(Bones),Erysipelas,Spasm,Sudorific",nan,Asteraceae,Porophyllum,ruderale
9591,Porophyllum scoparium,"Fever,Intestine,Rheumatism,Stomach",nan,Asteraceae,Porophyllum,scoparium
9592,Porophyllum seemannii,"Colic,Dyspepsia,Malaria",nan,Asteraceae,Porophyllum,seemannii
9593,Porophyllum sp,Digestive,nan,Asteraceae,Porophyllum,sp
9594,Portulaca grandiflora,Viricide,nan,Portulacaceae,Portulaca,grandiflora
9595,Portulaca meridiana,Tumor(Feet),nan,Portulacaceae,Portulaca,meridiana
9596,Portulaca oleracea,"Alexiteric,Anthrax,Antidote,Antiphlogistic,Ardor,Astringent,Bactericide,Bite(Bug),Bite(Snake),Bladder,Boil,Burn,Cardiotonic,Dermatitis,Detergent,Diuretic,Dysentery,Dyspepsia,Eczema,Edema,Emollient,Empacho,Erysipelas,Fever,Fungicide,Heat,Hematuria,Hyperglycemia,Inflammation,Kidney,Leucorrhea,Liver,Lung,Mouth,Nausea,Nipple,Opacity,Ophthalmia,Palpitation,Piles,Potherb,Refrigerant,Scald,Scurvy,Soporific,Sore,Spleen,Swelling,Thirst,Ache(Tooth),Tumor,Urogenital,Vermifuge,Vulnerary,Wart,Wound,Blennorrhagia,Alterative,Aperient,Demulcent,Gravel,Hemorrhage,Hypotension,Poison,Poultice,Sedative,Tonic,Ache(Ear),Charm,Cold,Colic,Dysuria,Enteritis,Genital,Gonorrhea,Hemoptysis,Hemostat,Herpes,Insomnia,Intestine,Pruritis,Strangury,Viricide","nan,Ma Ch'Ih Hsien,Suberi-Hiyu,Perpine,Coupier,Purslane,Semizotu,Pourpier,Gelang pasir,Coupe-Pied,Verdolaga,Parpinah,Berbin,Krokot,Porcelana,Ancharupa,Beldroega,Pourpier Commun",Portulacaceae,Portulaca,oleracea
9597,Portulaca perennia,Urogenital,nan,Portulacaceae,Portulaca,perennia
9598,Portulaca phaeosperma,Laxative,nan,Portulacaceae,Portulaca,phaeosperma
9599,Portulaca pilosa,"Antiseptic,Aperient,Burn,Carbuncle,Diuretic,Dyspepsia,Fever,Scurvy,Vermifuge,Boil,Erysipelas,Groin,Hepatitis,Wound,Hemoptysis","nan,Verdolaguilla,Yerba De Agua,Penawar,Verdolaga Afuere,Rebha leoka",Portulacaceae,Portulaca,pilosa
9600,Portulaca quadrifida,"Abdomen,Asthma,Boil,Cold,Diuretic,Emetic,Erysipelas,Fever,Kidney,Piles,Scurvy,Sore,Tumor(Foot),Alopecia,Skin,Abscess,Bladder,Cough,Inflammation,Lung,Urogenital","Kremi,nan,Rumput segan,Memaniran puteh,Purslane,Rebha leoka",Portulacaceae,Portulaca,quadrifida
9601,Portulaca sp,Depurative,nan,Portulacaceae,Portulaca,sp
9602,Portulaca tuberosa,"Dysuria,Erysipelas",nan,Portulacaceae,Portulaca,tuberosa
9603,Posidonia oceanica,"Skin,Throat,Apertif","nan,Alga De Vifrieros",Posidoniaceae,Posidonia,oceanica
9604,Potalia amara,Laxative,nan,Loganiaceae,Potalia,amara
9605,Potamogeton crispus,Cancer,"Caltrop,Water",Potamogetonaceae,Potamogeton,crispus
9606,Potamogeton densus,Cancer,Saligot,Potamogetonaceae,Potamogeton,densus
9607,Potamogeton natans,"Homeopathy,Tumor","nan,Djar Ennahar",Potamogetonaceae,Potamogeton,natans
9608,Potamogeton nodosus,"Astringent,Dysentery,Hemostat,Itch,Ulcer,Refrigerant",nan,Potamogetonaceae,Potamogeton,nodosus
9609,Potamogeton sp,"Fever,Sterility,Tonic,Ear,Eye,Diuretic","Yu,nan",Potamogetonaceae,Potamogeton,sp
9610,Potentilla anglica,Condyloma,Pentapetes,Rosaceae,Potentilla,anglica
9611,Potentilla anserina,"Arthritis,Astringent,Cancer,Corn,Cramp,Diarrhea,Dysmenorrhea,Intestine,Kidney,Leucorrhea,Litholytic,Polyp,Spasm,Stone,Styptic,Tonic,Vulnerary,Anodyne,Scurvy","nan,Silberweed,Gumusu Besparmak,Genserich,Tansy,Wild,Yerba Plateada",Rosaceae,Potentilla,anserina
9612,Potentilla candicans,"Astringent,Diarrhea",nan,Rosaceae,Potentilla,candicans
9613,Potentilla chinensis,"Febrifuge,Emmenagogue",Kawara-Saiko,Rosaceae,Potentilla,chinensis
9614,Potentilla cryptotaenia,"Bite(Snake),Poison,Vermifuge,Venereal,Antidote(Arrow),Rodent-Ulcer,Sore",Lang Ya,Rosaceae,Potentilla,cryptotaenia
9615,Potentilla discolor,"Astringent,Carbuncle,Dysentery,Hematemesis,Hematochezia,Hemostat,Malaria,Metrorrhagia,Refrigerant,Spleen,Enteritis,Detoxicant,Hematuria,Menorrhagia","Fan Pai Ts'Ao,nan",Rosaceae,Potentilla,discolor
9616,Potentilla erecta,"Astringent,Intestine,Stomachic,Cancer,Catarrh,Piles,Tonic","Tormentil,Tormentilla",Rosaceae,Potentilla,erecta
9617,Potentilla fragarioides,"Astringent,Hemorrhage",nan,Rosaceae,Potentilla,fragarioides
9618,Potentilla fruticosa,"Astringent,Cramp,Diarrhea,Dysmenorrhea,Kidney,Leucorrhea,Spasm,Tea,Tonic,Vulnerary,Intestine,Stone","nan,Bush Cinquefoil",Rosaceae,Potentilla,fruticosa
9619,Potentilla fulgens,"Ache(Tooth),Masticatory,Dentifrice,Diarrhea",nan,Rosaceae,Potentilla,fulgens
9620,Potentilla glandsulosa,Tea,nan,Rosaceae,Potentilla,glandsulosa
9621,Potentilla kleiniana,"Alexiteric,Bite(Snake),Cold,Sore(Throat),Trauma,Wound,Fever,Flu",nan,Rosaceae,Potentilla,kleiniana
9622,Potentilla mooniana,Masticatory,nan,Rosaceae,Potentilla,mooniana
